Run on (40 X 3600 MHz CPU s)
2018-07-24 20:25:09
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count","softmax_algorithm","softmax_mode"
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:128/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",3707,188857,7562.54,ns,,5.31364e+08,,,,1,512,14,100352,14,1,512,14,100352,14,5.31364e+08,100352,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:256/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",7255,96477.6,7476.88,ns,,5.20079e+08,,,,1,256,14,50176,14,1,256,14,50176,14,5.20079e+08,50176,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:256/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",7256,96474.1,7580.73,ns,,5.20098e+08,,,,1,256,14,50176,14,1,256,14,50176,14,5.20098e+08,50176,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:256/N:1/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",7254,96480.9,7489.46,ns,,5.20062e+08,,,,1,1024,7,50176,7,1,1024,7,50176,7,5.20062e+08,50176,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:512/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",14735,47470.7,7410.91,ns,,5.28495e+08,,,,1,512,7,25088,7,1,512,7,25088,7,5.28495e+08,25088,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:2048/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",14744,47502.9,7441.2,ns,,5.28136e+08,,,,1,512,7,25088,7,1,512,7,25088,7,5.28136e+08,25088,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:56/H:56/C:64/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1815,385612,7637.59,ns,,1.04096e+09,,,,2,64,56,401408,56,2,64,56,401408,56,1.04096e+09,401408,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:56/H:56/C:64/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1816,385721,7612.92,ns,,1.04067e+09,,,,2,256,28,401408,28,2,256,28,401408,28,1.04067e+09,401408,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:128/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3569,196149,7578.54,ns,,1.02322e+09,,,,2,128,28,200704,28,2,128,28,200704,28,1.02322e+09,200704,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:128/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",3569,196161,7483.28,ns,,1.02316e+09,,,,2,512,14,200704,14,2,512,14,200704,14,1.02316e+09,200704,0,0
