Run on (160 X 4023 MHz CPU s)
2018-08-08 15:33:31
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","stride_height","stride_width"
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:256/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",70402,9948.94,16943.9,ns,,1.2911e+12,,,,3,3,1,256,14,50176,14,256,1,256,14,50176,14,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:256/N:1/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",52064,13448.6,20343.6,ns,,3.82049e+12,,,,1,1,1,256,14,50176,14,1024,1,1024,7,50176,7,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:512/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",64559,10850.7,17762.2,ns,,1.1838e+12,,,,1,1,1,512,7,25088,7,512,1,512,7,25088,7,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:2048/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",64578,10833.3,17699.3,ns,,4.74281e+12,,,,1,1,1,2048,7,100352,7,512,1,512,7,25088,7,3,3,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:56/H:56/C:64/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",36850,18998.4,25948.6,ns,,1.35223e+12,,,,3,3,2,64,56,401408,56,64,2,64,56,401408,56,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:56/H:56/C:64/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",56622,12347.1,19167.3,ns,,8.32262e+12,,,,1,1,2,64,56,401408,56,256,2,256,28,401408,28,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:128/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",58288,12009.5,18822.4,ns,,2.13915e+12,,,,3,3,2,128,28,200704,28,128,2,128,28,200704,28,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:128/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",58098,12018.7,18905.8,ns,,8.55003e+12,,,,1,1,2,128,28,200704,28,512,2,512,14,200704,14,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:256/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",67351,10404.9,17197.3,ns,,2.46903e+12,,,,1,1,2,256,14,100352,14,256,2,256,14,100352,14,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:256/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",67318,10451.5,17267.2,ns,,2.45803e+12,,,,3,3,2,256,14,100352,14,256,2,256,14,100352,14,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:256/N:2/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",49452,14162.8,20949.6,ns,,7.25567e+12,,,,1,1,2,256,14,100352,14,1024,2,1024,7,100352,7,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:512/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",61657,11354.7,18324.4,ns,,2.26251e+12,,,,1,1,2,512,7,50176,7,512,2,512,7,50176,7,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:2048/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",61719,11339.2,18265.7,ns,,9.06238e+12,,,,1,1,2,2048,7,200704,7,512,2,512,7,50176,7,3,3,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:700/H:161/C:1/N:1/K:64/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",13557,51618,58435.9,ns,,1.39734e+11,,,,5,5,1,1,161,112700,700,64,1,64,80,1.78688e+06,349,1,1,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:350/H:80/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",13508,51789.6,58662.3,ns,,2.2145e+12,,,,3,3,1,64,80,1.792e+06,350,64,1,64,80,1.792e+06,350,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:350/H:80/C:64/N:1/K:128/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",35227,19856.1,26700.1,ns,,1.15519e+13,,,,5,5,1,64,80,1.792e+06,350,128,1,128,39,868608,174,1,1,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:175/H:40/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",34711,20161,27002.3,ns,,5.68862e+12,,,,3,3,1,128,40,896000,175,128,1,128,40,896000,175,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:175/H:40/C:128/N:1/K:256/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",57586,12135.1,19122.2,ns,,1.89019e+13,,,,5,5,1,128,40,896000,175,256,1,256,19,423168,87,1,1,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:84/H:20/C:256/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",56869,12289.2,19152.9,ns,,8.95911e+12,,,,3,3,1,256,20,430080,84,256,1,256,20,430080,84,1,1,1,1
